"","topic_short","year"
"997","Integrated",2005
"999","Integrated",1999
"1000","Integrated",2004
"1001","Integrated",2004
"1002","Integrated",2007
"1003","Integrated",2008
"1004","Integrated",2002
"1005","Integrated",2005
"1006","Integrated",2007
"1007","Integrated",2002
"1008","Integrated",2001
"1009","Integrated",2007
"1010","Integrated",2015
"1011","Integrated",2016
"1012","Integrated",2016
"1013","Integrated",2008
"1014","Integrated",2012
"1015","Integrated",2011
"1016","Integrated",2011
"1017","Integrated",2014
"1018","Integrated",2008
"1019","IntegratedImmuneSDBI",2008
"1020","IntegrateIdmmune",2014
"1021","Interactions",2009
"1022","Interactions",2005
"1023","Interactions",2006
"1024","Interactions",2001
"1025","Interactions",2005
"1026","Interactions",2006
"1027","Interactions",2006
"1028","Interactions",2007
"1029","Interactions",2008
"1030","Interactions",2009
"1031","Interactions",2010
"1032","Interactions",2011
"1033","Interactions",2001
"1034","Interactions",2005
"1035","Interactions",2001
"1036","Interactions",2005
"1037","Interactions",2010
"1038","Interactions",2011
"1039","Interactions",2005
"1040","Interactions",2006
"1041","Interactions",2006
"1042","Interactions",2007
"1043","Interactions",2005
"1044","Interactions",2006
"1045","Interactions",2015
"1046","Intervertebral",2014
"1047","Intervertebral",2016
"1048","Intervertebral",2013
"1049","Intervertebral",2012
"1050","Intervertebral",2013
"1051","Intervertebral",2013
"1052","Intervertebral",2015
"1053","Intervertebral",2013
"1054","Inververtebral",2014
"1055","Inververtebral",2014
"1056","IOP",2011
"1057","iRED",2015
"1058","iRED",2012
"1059","ISERV",2015
"1060","ISS",2003
"1061","ISS",2013
"1062","ISS",2013
"1063","ISS",2004
"1064","ISS",2004
"1065","ISS",2013
"1066","ISS",2014
"1067","ISS",2012
"1068","ISS",2013
"1069","ISS",2011
"1070","ISS",2003
"1071","ISS",2011
"1072","ISS",2004
"1073","ISS",2015
"1074","ISS",2014
"1075","ISS",2014
"1076","ISS",2015
"1077","ISS",2015
"1078","ISS",2014
"1079","ISS",2009
"1080","ISS",2006
"1081","ISS",2002
"1082","ISS",2006
"1083","ISS",2006
"1084","ISS",2002
"1085","ISS",2004
"1086","ISS",2012
"1087","ISS",2015
"1088","ISS",2015
"1089","ISS",2015
"1090","ISS",2015
"1091","ISS",2012
"1092","ISS",2015
"1093","ISS",2014
"1094","ISS",2016
"1095","ISS",2012
"1096","ISS",2014
"1097","ISS",2015
"1098","ISS",2015
"1099","ISS",2014
"1100","ISS",2006
"1101","ISS",2014
"1102","ISS",2013
"1103","ISS",2012
"1104","ISS",2012
"1105","ISS",2015
"1106","ISS",2013
"1107","ISS",2015
"1108","ISS",2015
"1109","ISS",2014
"1110","ISS",2012
"1111","ISS",2014
"1112","ISS",2014
"1113","ISS",2012
"1114","ISS",2013
"1115","ISS",2013
"1116","ISS",2013
"1117","ISS",2013
"1118","ISS",2012
"1119","ISS",2015
"1120","ISS",2016
"1121","ISS",2015
"1122","ISS",2010
"1123","ISS",2007
